Stuart Ramsay witnesses a Taliban�,Sno.,Author_ID,ID,Text,Like Count,Reply Count,Retweet Count,NewFinal,Comments
,,,,,,,,,
,,,,,,,,,
3,13,2460890913,1.39E+18,So happy our troops are coming home but please pray for the women and children of Afghanistan #keepthemsafe,13,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
13,54,16514848,1.39E+18,"The government, who has spent 1 trillion dollars on a war in Afghanistan, is here to protect you from being ripped off by someone who wants $6 for a gallon of gas.",4,1,0,E,
,,,,,,,,,
15,59,1.35E+18,1.39E+18,"He isn't the 1st..they are many more.. Who commit murders and terror attacks on behalf of the kabul regime to disrupt US withdrawal.. Though I seriously doubt that US is going to withdraw its PMCs too from Afghanistan..however, kabul admin wants US forces to stay as well https://t.co/o4SJzSwc9b",8,8,4,E,
,,,,,,,,,
,,,,,,,,,
18,65,51606154,1.39E+18,Advocates of America's forever war in Afghanistan keep invoking the Vietnam war. Was it bad that the U.S. withdrew from Vietnam? That Americans stopped dying there and killing Vietnamese? Does the United States not enjoy productive relations with Vietnam today?,134,10,16,E,
19,71,9.94E+17,1.39E+18,"This world is full of injustice and conflict, but whether it be #Palestine or #Afghanistan, the victims of politics and war are always the poorest, most susceptible. #Women. #Children. I dream of a world when war and violence are things of a distant past.
#Free_Palestine #freeafg https://t.co/LhK4YjZzXm",103,3,13,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
26,95,801860694,1.39E+18,.@norwayinafghanistan is flying our |flag for Norway| flag at half-mast in respect and sympathy. We share the distress with the people of Afghanistan |flag for Afghanistan| and victims of attacks in Dasht-e Barchi and Pul-e Alam @AfghanistanIHRC @ShaharzadAkbar @mfa_afghanistan @ARG_AFG @moiafghanistan https://t.co/UCmlnXRqnT,102,7,12,E,
27,97,1.13E+18,1.39E+18,"If USA along with nato can land in,  afghanistan to crub terrorists as per their claim so why cant all muslim countries gather up to, curtial Israel terrorist activities in al aqsa to free the innocent Palestinian un armed, children women men.
 #المسجد_الأقصى https://t.co/6wDChwLSz4",0,1,0,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
31,109,1.26E+18,1.40E+18,"As the Taliban moves to take over power from the Americans, the worst nightmare of the Afghan women might be returning. The world will not be able to look away. The greatest challenge to gender politics might come from Afghanistan. New essay. 

https://t.co/OI3BT642Pq",13,1,11,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
41,158,1.14E+18,1.40E+18,"The Afghan people want from neighboring countries to refrain from interfering in Afghanistan, These terrorists (Taliban) cannot fight against Afghan forces for a month without the support of neighboring countries, Afghans deserve the most peace. 
#WhatAfghansWant",23,1,22,E,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
47,175,297433585,1.39E+18,Targeting a specific group of people in Afghanistan is killing the soul of Afghanistan. https://t.co/622Upb2KGY,160,2,31,E,
